,Date,Tweets,Google,open,BTCopen
0,2021-11-10 00:00:00,13,73,11.37,66945.72
1,2021-11-10 01:00:00,14,69,11.31,67003.28
2,2021-11-10 02:00:00,20,59,11.32,67046.41
3,2021-11-10 03:00:00,21,60,11.15,66825.84
4,2021-11-10 04:00:00,16,50,11.14,66492.85
5,2021-11-10 05:00:00,26,35,11.17,66659.54
6,2021-11-10 06:00:00,22,34,11.09,66356.36
7,2021-11-10 07:00:00,39,32,11.17,66540.66
8,2021-11-10 08:00:00,42,29,11.35,66452.73
9,2021-11-10 09:00:00,48,29,11.43,66633.87
10,2021-11-10 10:00:00,33,28,11.54,66701.76
11,2021-11-10 11:00:00,32,34,11.7,66824.47
12,2021-11-10 12:00:00,26,37,11.54,66557.6
13,2021-11-10 13:00:00,40,39,11.33,66406.81
14,2021-11-10 14:00:00,30,49,11.5,68000.0
15,2021-11-10 15:00:00,56,75,11.37,68405.0
16,2021-11-10 16:00:00,47,63,11.43,68410.86
17,2021-11-10 17:00:00,48,78,11.51,68546.78
18,2021-11-10 18:00:00,23,62,11.59,68627.01
19,2021-11-10 19:00:00,36,79,11.56,67773.76
20,2021-11-10 20:00:00,32,78,11.03,66620.78
21,2021-11-10 21:00:00,20,71,10.75,65789.65
22,2021-11-10 22:00:00,11,86,10.47,64293.16
23,2021-11-10 23:00:00,22,73,10.8,65159.89
24,2021-11-11 00:00:00,33,70,10.76,64921.43
25,2021-11-11 01:00:00,27,58,11.13,64972.53
26,2021-11-11 02:00:00,9,51,10.93,64779.92
27,2021-11-11 03:00:00,20,62,10.85,64554.92
28,2021-11-11 04:00:00,25,56,11.0,64775.06
29,2021-11-11 05:00:00,22,37,11.02,64638.83
30,2021-11-11 06:00:00,25,35,11.16,64692.41
31,2021-11-11 07:00:00,29,30,11.18,64853.35
32,2021-11-11 08:00:00,23,25,11.4,65256.54
33,2021-11-11 09:00:00,60,24,11.25,65394.77
34,2021-11-11 10:00:00,90,26,12.23,65398.28
35,2021-11-11 11:00:00,50,29,12.24,65261.56
36,2021-11-11 12:00:00,46,40,12.15,65286.94
37,2021-11-11 13:00:00,48,47,12.25,65027.6
38,2021-11-11 14:00:00,36,56,12.06,64767.18
39,2021-11-11 15:00:00,35,61,12.06,65214.97
40,2021-11-11 16:00:00,61,65,12.25,64848.09
41,2021-11-11 17:00:00,45,74,12.03,65098.64
42,2021-11-11 18:00:00,39,73,11.98,64974.12
43,2021-11-11 19:00:00,40,69,12.26,64794.67
44,2021-11-11 20:00:00,22,78,12.02,65167.7
45,2021-11-11 21:00:00,33,75,12.16,64821.34
46,2021-11-11 22:00:00,24,77,12.13,65086.63
47,2021-11-11 23:00:00,31,88,12.42,65213.93
48,2021-11-12 00:00:00,56,71,12.06,64821.33
49,2021-11-12 01:00:00,25,64,12.27,64852.09
50,2021-11-12 02:00:00,38,56,12.11,65142.24
51,2021-11-12 03:00:00,18,53,11.92,65038.88
52,2021-11-12 04:00:00,16,49,11.91,64867.26
53,2021-11-12 05:00:00,15,46,11.89,64976.82
54,2021-11-12 06:00:00,23,37,11.78,64676.63
55,2021-11-12 07:00:00,26,29,11.6,64517.64
56,2021-11-12 08:00:00,26,28,11.66,64470.15
57,2021-11-12 09:00:00,23,21,11.73,64896.28
58,2021-11-12 10:00:00,31,27,11.33,63798.07
59,2021-11-12 11:00:00,22,29,11.32,63687.02
60,2021-11-12 12:00:00,41,35,11.34,63757.51
61,2021-11-12 13:00:00,37,43,11.36,63837.78
62,2021-11-12 14:00:00,26,54,11.36,63965.02
63,2021-11-12 15:00:00,35,65,11.27,63469.27
64,2021-11-12 16:00:00,23,66,11.22,63183.33
65,2021-11-12 17:00:00,28,72,11.12,63086.83
66,2021-11-12 18:00:00,26,64,11.19,63643.21
67,2021-11-12 19:00:00,21,76,11.18,63908.14
68,2021-11-12 20:00:00,15,81,11.13,63870.36
69,2021-11-12 21:00:00,22,87,11.22,64155.26
70,2021-11-12 22:00:00,17,85,11.2,64112.45
71,2021-11-12 23:00:00,17,86,11.2,63956.02
72,2021-11-13 00:00:00,13,87,11.42,64158.41
73,2021-11-13 01:00:00,9,74,11.3,64356.6
74,2021-11-13 02:00:00,16,70,11.16,63899.61
75,2021-11-13 03:00:00,18,63,11.02,63728.89
76,2021-11-13 04:00:00,18,61,11.0,63793.02
77,2021-11-13 05:00:00,15,52,11.04,63710.1
78,2021-11-13 06:00:00,19,41,11.08,63615.87
79,2021-11-13 07:00:00,22,38,11.2,63869.95
80,2021-11-13 08:00:00,37,32,11.19,64051.16
81,2021-11-13 09:00:00,27,31,11.13,63824.65
82,2021-11-13 10:00:00,21,32,10.98,63465.65
83,2021-11-13 11:00:00,38,31,11.08,63732.38
84,2021-11-13 12:00:00,24,42,11.02,63584.98
85,2021-11-13 13:00:00,36,54,10.97,63557.85
86,2021-11-13 14:00:00,28,68,10.92,63624.55
87,2021-11-13 15:00:00,26,74,11.15,64713.46
88,2021-11-13 16:00:00,25,84,11.17,64711.06
89,2021-11-13 17:00:00,20,95,11.2,64648.35
90,2021-11-13 18:00:00,24,90,11.2,64680.54
91,2021-11-13 19:00:00,30,97,11.12,64133.94
92,2021-11-13 20:00:00,21,81,11.16,63967.74
93,2021-11-13 21:00:00,20,100,11.1,64360.86
94,2021-11-13 22:00:00,10,88,11.08,64391.37
95,2021-11-13 23:00:00,9,80,11.14,64295.1
96,2021-11-14 00:00:00,18,73,11.16,64417.52
97,2021-11-14 01:00:00,11,77,11.18,65003.72
98,2021-11-14 02:00:00,19,74,11.22,64810.87
99,2021-11-14 03:00:00,16,69,11.41,64655.82
100,2021-11-14 04:00:00,13,61,11.29,64670.94
101,2021-11-14 05:00:00,31,52,11.29,64778.55
102,2021-11-14 06:00:00,28,51,11.33,64897.5
103,2021-11-14 07:00:00,30,39,11.27,64827.17
104,2021-11-14 08:00:00,45,35,11.24,64642.88
105,2021-11-14 09:00:00,27,30,11.48,64327.95
106,2021-11-14 10:00:00,26,32,11.4,64281.63
107,2021-11-14 11:00:00,30,29,11.4,64426.55
108,2021-11-14 12:00:00,41,47,11.37,64486.43
109,2021-11-14 13:00:00,54,49,11.39,64617.17
110,2021-11-14 14:00:00,35,50,11.56,64699.9
111,2021-11-14 15:00:00,37,63,11.57,64371.04
112,2021-11-14 16:00:00,40,68,11.58,64097.48
113,2021-11-14 17:00:00,35,68,11.45,63718.57
114,2021-11-14 18:00:00,29,64,11.35,64195.73
115,2021-11-14 19:00:00,14,74,11.5,64013.96
116,2021-11-14 20:00:00,28,77,11.53,64167.87
117,2021-11-14 21:00:00,18,75,11.61,64245.71
118,2021-11-14 22:00:00,28,90,11.68,64335.58
119,2021-11-14 23:00:00,23,83,11.87,64530.0
120,2021-11-15 00:00:00,16,74,11.86,65509.87
121,2021-11-15 01:00:00,15,65,11.84,65861.67
122,2021-11-15 02:00:00,16,73,11.78,65913.4
123,2021-11-15 03:00:00,13,58,11.76,65721.45
124,2021-11-15 04:00:00,13,49,11.7,65788.38
