,Date,Tweets,Google,open,BTCopen
0,2021-11-10 00:00:00,562,71,5.488e-05,66945.72
1,2021-11-10 01:00:00,649,67,5.436e-05,67003.28
2,2021-11-10 02:00:00,650,69,5.463e-05,67046.41
3,2021-11-10 03:00:00,624,71,5.454e-05,66825.84
4,2021-11-10 04:00:00,585,72,5.427e-05,66492.85
5,2021-11-10 05:00:00,623,68,5.436e-05,66659.54
6,2021-11-10 06:00:00,657,63,5.457e-05,66356.36
7,2021-11-10 07:00:00,507,60,5.422e-05,66540.66
8,2021-11-10 08:00:00,615,60,5.438e-05,66452.73
9,2021-11-10 09:00:00,614,56,5.406e-05,66633.87
10,2021-11-10 10:00:00,604,60,5.375e-05,66701.76
11,2021-11-10 11:00:00,484,59,5.403e-05,66824.47
12,2021-11-10 12:00:00,712,68,5.333e-05,66557.6
13,2021-11-10 13:00:00,787,71,5.205e-05,66406.81
14,2021-11-10 14:00:00,874,69,5.225e-05,68000.0
15,2021-11-10 15:00:00,649,71,5.127e-05,68405.0
16,2021-11-10 16:00:00,803,70,5.123e-05,68410.86
17,2021-11-10 17:00:00,981,77,5.141e-05,68546.78
18,2021-11-10 18:00:00,890,80,5.132e-05,68627.01
19,2021-11-10 19:00:00,883,87,5.075e-05,67773.76
20,2021-11-10 20:00:00,841,96,4.902e-05,66620.78
21,2021-11-10 21:00:00,732,100,4.907e-05,65789.65
22,2021-11-10 22:00:00,685,81,4.776e-05,64293.16
23,2021-11-10 23:00:00,522,71,4.956e-05,65159.89
24,2021-11-11 00:00:00,536,65,5.031e-05,64921.43
25,2021-11-11 01:00:00,538,65,4.993e-05,64972.53
26,2021-11-11 02:00:00,641,65,4.904e-05,64779.92
27,2021-11-11 03:00:00,626,64,4.98e-05,64554.92
28,2021-11-11 04:00:00,545,68,5.161e-05,64775.06
29,2021-11-11 05:00:00,600,71,5.236e-05,64638.83
30,2021-11-11 06:00:00,712,62,5.207e-05,64692.41
31,2021-11-11 07:00:00,802,59,5.231e-05,64853.35
32,2021-11-11 08:00:00,711,54,5.203e-05,65256.54
33,2021-11-11 09:00:00,537,52,5.15e-05,65394.77
34,2021-11-11 10:00:00,466,53,5.114e-05,65398.28
35,2021-11-11 11:00:00,661,56,5.08e-05,65261.56
36,2021-11-11 12:00:00,1057,70,5.098e-05,65286.94
37,2021-11-11 13:00:00,1296,84,5.498e-05,65027.6
38,2021-11-11 14:00:00,863,68,5.624e-05,64767.18
39,2021-11-11 15:00:00,1030,68,5.576e-05,65214.97
40,2021-11-11 16:00:00,1151,65,5.576e-05,64848.09
41,2021-11-11 17:00:00,973,66,5.426e-05,65098.64
42,2021-11-11 18:00:00,1452,70,5.463e-05,64974.12
43,2021-11-11 19:00:00,886,71,5.474e-05,64794.67
44,2021-11-11 20:00:00,877,78,5.504e-05,65167.7
45,2021-11-11 21:00:00,775,80,5.498e-05,64821.34
46,2021-11-11 22:00:00,763,80,5.674e-05,65086.63
47,2021-11-11 23:00:00,623,72,5.562e-05,65213.93
48,2021-11-12 00:00:00,690,68,5.656e-05,64821.33
49,2021-11-12 01:00:00,613,63,5.51e-05,64852.09
50,2021-11-12 02:00:00,821,64,5.501e-05,65142.24
51,2021-11-12 03:00:00,659,65,5.431e-05,65038.88
52,2021-11-12 04:00:00,656,66,5.364e-05,64867.26
53,2021-11-12 05:00:00,615,66,5.388e-05,64976.82
54,2021-11-12 06:00:00,792,62,5.327e-05,64676.63
55,2021-11-12 07:00:00,597,55,5.326e-05,64517.64
56,2021-11-12 08:00:00,689,53,5.368e-05,64470.15
57,2021-11-12 09:00:00,580,53,5.357e-05,64896.28
58,2021-11-12 10:00:00,559,53,5.183e-05,63798.07
59,2021-11-12 11:00:00,575,54,5.189e-05,63687.02
60,2021-11-12 12:00:00,565,56,5.232e-05,63757.51
61,2021-11-12 13:00:00,688,56,5.227e-05,63837.78
62,2021-11-12 14:00:00,692,59,5.243e-05,63965.02
63,2021-11-12 15:00:00,841,59,5.321e-05,63469.27
64,2021-11-12 16:00:00,707,60,5.297e-05,63183.33
65,2021-11-12 17:00:00,1045,58,5.225e-05,63086.83
66,2021-11-12 18:00:00,641,60,5.23e-05,63643.21
67,2021-11-12 19:00:00,547,65,5.262e-05,63908.14
68,2021-11-12 20:00:00,461,67,5.196e-05,63870.36
69,2021-11-12 21:00:00,454,68,5.229e-05,64155.26
70,2021-11-12 22:00:00,686,64,5.201e-05,64112.45
71,2021-11-12 23:00:00,530,62,5.22e-05,63956.02
72,2021-11-13 00:00:00,430,56,5.239e-05,64158.41
73,2021-11-13 01:00:00,375,53,5.249e-05,64356.6
74,2021-11-13 02:00:00,375,55,5.197e-05,63899.61
75,2021-11-13 03:00:00,357,56,5.167e-05,63728.89
76,2021-11-13 04:00:00,575,63,5.156e-05,63793.02
77,2021-11-13 05:00:00,468,64,5.145e-05,63710.1
78,2021-11-13 06:00:00,459,60,5.111e-05,63615.87
79,2021-11-13 07:00:00,456,57,5.176e-05,63869.95
80,2021-11-13 08:00:00,538,54,5.174e-05,64051.16
81,2021-11-13 09:00:00,397,52,5.162e-05,63824.65
82,2021-11-13 10:00:00,357,50,5.144e-05,63465.65
83,2021-11-13 11:00:00,464,53,5.16e-05,63732.38
84,2021-11-13 12:00:00,552,54,5.155e-05,63584.98
85,2021-11-13 13:00:00,558,56,5.123e-05,63557.85
86,2021-11-13 14:00:00,691,58,5.173e-05,63624.55
87,2021-11-13 15:00:00,662,58,5.212e-05,64713.46
88,2021-11-13 16:00:00,624,57,5.209e-05,64711.06
89,2021-11-13 17:00:00,555,60,5.192e-05,64648.35
90,2021-11-13 18:00:00,541,64,5.199e-05,64680.54
91,2021-11-13 19:00:00,818,66,5.154e-05,64133.94
92,2021-11-13 20:00:00,552,67,5.161e-05,63967.74
93,2021-11-13 21:00:00,531,63,5.151e-05,64360.86
94,2021-11-13 22:00:00,415,64,5.124e-05,64391.37
95,2021-11-13 23:00:00,464,60,5.15e-05,64295.1
96,2021-11-14 00:00:00,423,58,5.166e-05,64417.52
97,2021-11-14 01:00:00,654,72,5.379e-05,65003.72
98,2021-11-14 02:00:00,720,67,5.474e-05,64810.87
99,2021-11-14 03:00:00,534,62,5.431e-05,64655.82
100,2021-11-14 04:00:00,458,62,5.369e-05,64670.94
101,2021-11-14 05:00:00,599,60,5.374e-05,64778.55
102,2021-11-14 06:00:00,443,58,5.288e-05,64897.5
103,2021-11-14 07:00:00,447,54,5.266e-05,64827.17
104,2021-11-14 08:00:00,368,51,5.251e-05,64642.88
105,2021-11-14 09:00:00,387,50,5.247e-05,64327.95
106,2021-11-14 10:00:00,347,53,5.265e-05,64281.63
107,2021-11-14 11:00:00,705,51,5.359e-05,64426.55
108,2021-11-14 12:00:00,612,52,5.273e-05,64486.43
109,2021-11-14 13:00:00,637,52,5.3e-05,64617.17
110,2021-11-14 14:00:00,735,51,5.304e-05,64699.9
111,2021-11-14 15:00:00,709,53,5.264e-05,64371.04
112,2021-11-14 16:00:00,568,53,5.299e-05,64097.48
113,2021-11-14 17:00:00,820,54,5.266e-05,63718.57
114,2021-11-14 18:00:00,690,56,5.28e-05,64195.73
115,2021-11-14 19:00:00,635,56,5.266e-05,64013.96
116,2021-11-14 20:00:00,521,58,5.23e-05,64167.87
117,2021-11-14 21:00:00,393,59,5.233e-05,64245.71
118,2021-11-14 22:00:00,548,58,5.277e-05,64335.58
119,2021-11-14 23:00:00,391,59,5.274e-05,64530.0
120,2021-11-15 00:00:00,462,53,5.313e-05,65509.87
121,2021-11-15 01:00:00,381,51,5.296e-05,65861.67
122,2021-11-15 02:00:00,404,51,5.253e-05,65913.4
123,2021-11-15 03:00:00,451,52,5.265e-05,65721.45
124,2021-11-15 04:00:00,378,53,5.258e-05,65788.38
125,2021-11-15 05:00:00,341,54,5.275e-05,65809.34
126,2021-11-15 06:00:00,413,51,5.281e-05,65737.06
127,2021-11-15 07:00:00,423,48,5.268e-05,65696.06
128,2021-11-15 08:00:00,453,46,5.259e-05,65623.98
129,2021-11-15 09:00:00,436,45,5.25e-05,65760.63
130,2021-11-15 10:00:00,429,46,5.29e-05,66016.41
131,2021-11-15 11:00:00,450,47,5.272e-05,65969.65
132,2021-11-15 12:00:00,631,55,5.271e-05,65747.56
133,2021-11-15 13:00:00,621,52,5.403e-05,65693.27
134,2021-11-15 14:00:00,613,51,5.336e-05,65502.26
135,2021-11-15 15:00:00,700,55,5.362e-05,64887.05
136,2021-11-15 16:00:00,869,65,5.417e-05,64333.3
137,2021-11-15 17:00:00,1044,69,5.529e-05,64248.69
138,2021-11-15 18:00:00,662,66,5.491e-05,64047.8
139,2021-11-15 19:00:00,576,66,5.415e-05,63812.17
140,2021-11-15 20:00:00,571,67,5.477e-05,64255.74
141,2021-11-15 21:00:00,509,63,5.482e-05,63909.05
142,2021-11-15 22:00:00,518,60,5.43e-05,63931.9
143,2021-11-15 23:00:00,553,58,5.358e-05,63967.25
144,2021-11-16 00:00:00,758,57,5.342e-05,63606.09
145,2021-11-16 01:00:00,519,57,5.221e-05,62599.93
146,2021-11-16 02:00:00,414,56,5.098e-05,62170.0
147,2021-11-16 03:00:00,413,57,5.06e-05,61578.58
148,2021-11-16 04:00:00,363,60,4.995e-05,60939.83
149,2021-11-16 05:00:00,426,56,5.086e-05,61243.16
150,2021-11-16 06:00:00,438,51,5.057e-05,60965.0
151,2021-11-16 07:00:00,402,48,5.089e-05,60871.8
152,2021-11-16 08:00:00,442,43,5.166e-05,60840.86
153,2021-11-16 09:00:00,359,42,5.131e-05,61032.99
154,2021-11-16 10:00:00,414,54,4.956e-05,60200.0
