,Date,Total
0,2021-12-09 23:00:00,34
1,2021-12-09 22:00:00,42
2,2021-12-09 21:00:00,48
3,2021-12-09 20:00:00,31
4,2021-12-09 19:00:00,38
5,2021-12-09 18:00:00,36
6,2021-12-09 17:00:00,45
7,2021-12-09 16:00:00,41
8,2021-12-09 15:00:00,54
9,2021-12-09 14:00:00,38
10,2021-12-09 13:00:00,50
11,2021-12-09 12:00:00,46
12,2021-12-09 11:00:00,46
13,2021-12-09 10:00:00,41
14,2021-12-09 09:00:00,31
15,2021-12-09 08:00:00,40
16,2021-12-09 07:00:00,53
17,2021-12-09 06:00:00,40
18,2021-12-09 05:00:00,38
19,2021-12-09 04:00:00,39
20,2021-12-09 03:00:00,56
21,2021-12-09 02:00:00,39
22,2021-12-09 01:00:00,38
23,2021-12-09 00:00:00,36
24,2021-12-08 23:00:00,33
25,2021-12-08 22:00:00,39
26,2021-12-08 21:00:00,52
27,2021-12-08 20:00:00,68
28,2021-12-08 19:00:00,80
29,2021-12-08 18:00:00,81
30,2021-12-08 17:00:00,78
31,2021-12-08 16:00:00,64
32,2021-12-08 15:00:00,50
33,2021-12-08 14:00:00,54
34,2021-12-08 13:00:00,41
35,2021-12-08 12:00:00,34
36,2021-12-08 11:00:00,47
37,2021-12-08 10:00:00,19
38,2021-12-08 09:00:00,25
39,2021-12-08 08:00:00,18
40,2021-12-08 07:00:00,29
41,2021-12-08 06:00:00,46
42,2021-12-08 05:00:00,33
43,2021-12-08 04:00:00,34
44,2021-12-08 03:00:00,17
45,2021-12-08 02:00:00,9
46,2021-12-08 01:00:00,20
47,2021-12-08 00:00:00,22
48,2021-12-07 23:00:00,19
49,2021-12-07 22:00:00,28
50,2021-12-07 21:00:00,37
51,2021-12-07 20:00:00,31
52,2021-12-07 19:00:00,12
53,2021-12-07 18:00:00,23
54,2021-12-07 17:00:00,39
55,2021-12-07 16:00:00,38
56,2021-12-07 15:00:00,23
57,2021-12-07 14:00:00,22
