,Date,Total
0,2021-12-09 23:00:00,266
1,2021-12-09 22:00:00,214
2,2021-12-09 21:00:00,168
3,2021-12-09 20:00:00,240
4,2021-12-09 19:00:00,312
5,2021-12-09 18:00:00,279
6,2021-12-09 17:00:00,376
7,2021-12-09 16:00:00,456
8,2021-12-09 15:00:00,279
9,2021-12-09 14:00:00,370
10,2021-12-09 13:00:00,194
11,2021-12-09 12:00:00,214
12,2021-12-09 11:00:00,229
13,2021-12-09 10:00:00,211
14,2021-12-09 09:00:00,213
15,2021-12-09 08:00:00,180
16,2021-12-09 07:00:00,196
17,2021-12-09 06:00:00,171
18,2021-12-09 05:00:00,180
19,2021-12-09 04:00:00,197
20,2021-12-09 03:00:00,230
21,2021-12-09 02:00:00,224
22,2021-12-09 01:00:00,187
23,2021-12-09 00:00:00,233
24,2021-12-08 23:00:00,267
25,2021-12-08 22:00:00,343
26,2021-12-08 21:00:00,340
27,2021-12-08 20:00:00,326
28,2021-12-08 19:00:00,301
29,2021-12-08 18:00:00,246
30,2021-12-08 17:00:00,290
31,2021-12-08 16:00:00,322
32,2021-12-08 15:00:00,280
33,2021-12-08 14:00:00,325
34,2021-12-08 13:00:00,293
35,2021-12-08 12:00:00,292
36,2021-12-08 11:00:00,306
37,2021-12-08 10:00:00,255
38,2021-12-08 09:00:00,277
39,2021-12-08 08:00:00,250
40,2021-12-08 07:00:00,260
41,2021-12-08 06:00:00,211
42,2021-12-08 05:00:00,272
43,2021-12-08 04:00:00,249
44,2021-12-08 03:00:00,259
45,2021-12-08 02:00:00,269
46,2021-12-08 01:00:00,483
47,2021-12-08 00:00:00,265
48,2021-12-07 23:00:00,317
49,2021-12-07 22:00:00,432
50,2021-12-07 21:00:00,289
51,2021-12-07 20:00:00,306
52,2021-12-07 19:00:00,328
53,2021-12-07 18:00:00,294
54,2021-12-07 17:00:00,366
55,2021-12-07 16:00:00,417
56,2021-12-07 15:00:00,253
57,2021-12-07 14:00:00,298
58,2021-12-07 13:00:00,298
59,2021-12-07 12:00:00,286
60,2021-12-07 11:00:00,225
61,2021-12-07 10:00:00,229
62,2021-12-07 09:00:00,257
63,2021-12-07 08:00:00,262
64,2021-12-07 07:00:00,217
65,2021-12-07 06:00:00,229
66,2021-12-07 05:00:00,292
67,2021-12-07 04:00:00,206
68,2021-12-07 03:00:00,250
69,2021-12-07 02:00:00,238
70,2021-12-07 01:00:00,244
71,2021-12-07 00:00:00,248
72,2021-12-06 23:00:00,318
73,2021-12-06 22:00:00,365
74,2021-12-06 21:00:00,436
75,2021-12-06 20:00:00,444
76,2021-12-06 19:00:00,533
77,2021-12-06 18:00:00,487
78,2021-12-06 17:00:00,465
79,2021-12-06 16:00:00,474
80,2021-12-06 15:00:00,505
81,2021-12-06 14:00:00,402
82,2021-12-06 13:00:00,436
83,2021-12-06 12:00:00,342
84,2021-12-06 11:00:00,254
85,2021-12-06 10:00:00,265
86,2021-12-06 09:00:00,285
87,2021-12-06 08:00:00,279
88,2021-12-06 07:00:00,258
89,2021-12-06 06:00:00,279
90,2021-12-06 05:00:00,357
91,2021-12-06 04:00:00,320
92,2021-12-06 03:00:00,393
93,2021-12-06 02:00:00,221
94,2021-12-06 01:00:00,215
95,2021-12-06 00:00:00,233
96,2021-12-05 23:00:00,264
97,2021-12-05 22:00:00,365
98,2021-12-05 21:00:00,398
99,2021-12-05 20:00:00,459
100,2021-12-05 19:00:00,262
101,2021-12-05 18:00:00,273
102,2021-12-05 17:00:00,396
103,2021-12-05 16:00:00,365
104,2021-12-05 15:00:00,560
105,2021-12-05 14:00:00,460
106,2021-12-05 13:00:00,751
107,2021-12-05 12:00:00,555
108,2021-12-05 11:00:00,266
109,2021-12-05 10:00:00,204
110,2021-12-05 09:00:00,228
111,2021-12-05 08:00:00,264
112,2021-12-05 07:00:00,207
113,2021-12-05 06:00:00,193
114,2021-12-05 05:00:00,174
115,2021-12-05 04:00:00,160
116,2021-12-05 03:00:00,225
117,2021-12-05 02:00:00,185
118,2021-12-05 01:00:00,252
119,2021-12-05 00:00:00,238
120,2021-12-04 23:00:00,263
121,2021-12-04 22:00:00,279
122,2021-12-04 21:00:00,326
123,2021-12-04 20:00:00,286
124,2021-12-04 19:00:00,368
125,2021-12-04 18:00:00,343
126,2021-12-04 17:00:00,279
127,2021-12-04 16:00:00,419
128,2021-12-04 15:00:00,488
129,2021-12-04 14:00:00,399
130,2021-12-04 13:00:00,328
131,2021-12-04 12:00:00,393
132,2021-12-04 11:00:00,286
133,2021-12-04 10:00:00,295
134,2021-12-04 09:00:00,243
135,2021-12-04 08:00:00,242
136,2021-12-04 07:00:00,263
137,2021-12-04 06:00:00,362
138,2021-12-04 05:00:00,335
139,2021-12-04 04:00:00,289
140,2021-12-04 03:00:00,242
141,2021-12-04 02:00:00,265
142,2021-12-04 01:00:00,332
143,2021-12-04 00:00:00,241
144,2021-12-03 23:00:00,289
145,2021-12-03 22:00:00,277
146,2021-12-03 21:00:00,301
147,2021-12-03 20:00:00,322
148,2021-12-03 19:00:00,389
149,2021-12-03 18:00:00,323
150,2021-12-03 17:00:00,315
151,2021-12-03 16:00:00,414
152,2021-12-03 15:00:00,459
153,2021-12-03 14:00:00,382
154,2021-12-03 13:00:00,405
155,2021-12-03 12:00:00,524
156,2021-12-03 11:00:00,357
157,2021-12-03 10:00:00,294
158,2021-12-03 09:00:00,274
159,2021-12-03 08:00:00,292
160,2021-12-03 07:00:00,309
161,2021-12-03 06:00:00,298
162,2021-12-03 05:00:00,291
163,2021-12-03 04:00:00,279
164,2021-12-03 03:00:00,313
165,2021-12-03 02:00:00,296
166,2021-12-03 01:00:00,348
167,2021-12-03 00:00:00,312
168,2021-12-02 23:00:00,371
169,2021-12-02 22:00:00,393
170,2021-12-02 21:00:00,471
171,2021-12-02 20:00:00,432
172,2021-12-02 19:00:00,315
173,2021-12-02 18:00:00,378
174,2021-12-02 17:00:00,342
175,2021-12-02 16:00:00,451
176,2021-12-02 15:00:00,466
177,2021-12-02 14:00:00,492
178,2021-12-02 13:00:00,476
179,2021-12-02 12:00:00,341
180,2021-12-02 11:00:00,418
181,2021-12-02 10:00:00,325
182,2021-12-02 09:00:00,310
183,2021-12-02 08:00:00,325
184,2021-12-02 07:00:00,277
185,2021-12-02 06:00:00,334
186,2021-12-02 05:00:00,373
187,2021-12-02 04:00:00,333
188,2021-12-02 03:00:00,339
189,2021-12-02 02:00:00,312
190,2021-12-02 01:00:00,361
191,2021-12-02 00:00:00,546
192,2021-12-01 23:00:00,599
193,2021-12-01 22:00:00,369
194,2021-12-01 21:00:00,450
195,2021-12-01 20:00:00,459
196,2021-12-01 19:00:00,765
197,2021-12-01 18:00:00,518
198,2021-12-01 17:00:00,553
199,2021-12-01 16:00:00,710
200,2021-12-01 15:00:00,723
201,2021-12-01 14:00:00,927
202,2021-12-01 13:00:00,715
203,2021-12-01 12:00:00,450
204,2021-12-01 11:00:00,439
205,2021-12-01 10:00:00,453
206,2021-12-01 09:00:00,387
207,2021-12-01 08:00:00,493
208,2021-12-01 07:00:00,401
209,2021-12-01 06:00:00,434
210,2021-12-01 05:00:00,365
211,2021-12-01 04:00:00,415
212,2021-12-01 03:00:00,481
213,2021-12-01 02:00:00,379
214,2021-12-01 01:00:00,474
215,2021-12-01 00:00:00,465
216,2021-11-30 23:00:00,551
217,2021-11-30 22:00:00,610
218,2021-11-30 21:00:00,639
219,2021-11-30 20:00:00,643
220,2021-11-30 19:00:00,873
221,2021-11-30 18:00:00,1014
222,2021-11-30 17:00:00,801
