datetime,low,high,open,close,volumefrom,volumeto
2021-11-10 00:00:00,66788.94,67387.6,66945.72,67003.28,43.44,2914537.2
2021-11-10 01:00:00,66874.44,67314.56,67003.28,67046.41,19.49,1308000.06
2021-11-10 02:00:00,66810.7,67197.83,67046.41,66825.84,22.83,1530193.91
2021-11-10 03:00:00,66375.0,66836.1,66825.84,66492.85,72.42,4816294.35
2021-11-10 04:00:00,66276.56,66672.64,66492.85,66659.54,40.55,2694782.14
2021-11-10 05:00:00,66300.24,66659.54,66659.54,66356.36,27.02,1795856.11
2021-11-10 06:00:00,66251.09,66630.39,66356.36,66540.66,36.25,2410171.94
2021-11-10 07:00:00,66327.58,66751.76,66540.66,66452.73,42.22,2809259.26
2021-11-10 08:00:00,66383.17,66865.51,66452.73,66633.87,49.79,3319512.55
2021-11-10 09:00:00,66560.64,66858.2,66633.87,66701.76,55.16,3679952.98
2021-11-10 10:00:00,66656.36,67100.16,66701.76,66824.47,45.5,3044512.65
2021-11-10 11:00:00,66554.37,66936.3,66824.47,66557.6,56.07,3744683.98
2021-11-10 12:00:00,66258.45,66981.45,66557.6,66406.81,80.59,5364650.49
2021-11-10 13:00:00,65982.95,68010.51,66406.81,68000.0,235.95,15792650.55
2021-11-10 14:00:00,67923.24,69000.0,68000.0,68405.0,318.09,21782227.12
2021-11-10 15:00:00,68182.59,68500.0,68405.0,68410.86,33.96,2322103.58
2021-11-10 16:00:00,68357.79,68754.96,68410.86,68546.78,91.46,6271168.21
2021-11-10 17:00:00,68447.0,68800.01,68546.78,68627.01,113.9,7819144.28
2021-11-10 18:00:00,67603.5,68641.37,68627.01,67773.76,132.34,9010292.53
2021-11-10 19:00:00,66570.62,68013.46,67773.76,66620.78,184.21,12415728.66
2021-11-10 20:00:00,65075.0,67041.08,66620.78,65789.65,439.11,29059545.56
2021-11-10 21:00:00,62856.71,66141.41,65789.65,64293.16,779.95,50371986.63
2021-11-10 22:00:00,63925.0,65313.3,64293.16,65159.89,290.84,18805547.24
2021-11-10 23:00:00,64266.57,65164.54,65159.89,64921.43,207.98,13455386.95
2021-11-11 00:00:00,64201.11,65040.17,64921.43,64972.53,88.74,5733242.19
2021-11-11 01:00:00,64388.0,65096.32,64972.53,64779.92,70.43,4552910.39
2021-11-11 02:00:00,64140.0,64779.92,64779.92,64554.92,87.86,5656866.47
2021-11-11 03:00:00,64376.66,64865.31,64554.92,64775.06,51.78,3347386.73
2021-11-11 04:00:00,64404.1,64825.67,64775.06,64638.83,34.2,2209363.97
2021-11-11 05:00:00,64596.01,64928.48,64638.83,64692.41,72.92,4720216.97
2021-11-11 06:00:00,64532.05,65000.0,64692.41,64853.35,71.59,4635624.74
2021-11-11 07:00:00,64829.75,65408.88,64853.35,65256.54,90.65,5908470.81
2021-11-11 08:00:00,64614.45,65449.0,65256.54,65394.77,140.77,9157527.3
2021-11-11 09:00:00,65056.27,65625.44,65394.77,65398.28,99.63,6516203.06
2021-11-11 10:00:00,65123.36,65424.72,65398.28,65261.56,64.46,4208436.93
2021-11-11 11:00:00,64971.2,65359.63,65261.56,65286.94,37.57,2448736.5
2021-11-11 12:00:00,64710.0,65358.84,65286.94,65027.6,67.65,4390225.57
2021-11-11 13:00:00,64670.17,65184.62,65027.6,64767.18,51.05,3311674.34
2021-11-11 14:00:00,64440.0,65504.04,64767.18,65214.97,125.68,8163178.59
2021-11-11 15:00:00,64702.35,65359.28,65214.97,64848.09,43.79,2843270.76
2021-11-11 16:00:00,64774.43,65260.73,64848.09,65098.64,82.34,5349124.35
2021-11-11 17:00:00,64900.0,65278.55,65098.64,64974.12,37.05,2410827.83
2021-11-11 18:00:00,64600.05,65041.53,64974.12,64794.67,27.1,1755670.86
2021-11-11 19:00:00,64771.24,65261.31,64794.67,65167.7,37.69,2453423.15
2021-11-11 20:00:00,64768.07,65266.3,65167.7,64821.34,59.16,3847596.04
2021-11-11 21:00:00,64774.99,65108.03,64821.34,65086.63,47.32,3073249.66
2021-11-11 22:00:00,64913.9,65358.09,65086.63,65213.93,48.15,3139405.33
2021-11-11 23:00:00,64800.0,65213.93,65213.93,64821.33,45.7,2971658.43
2021-11-12 00:00:00,64694.13,64963.81,64821.33,64852.09,40.18,2605072.94
2021-11-12 01:00:00,64110.86,65415.49,64852.09,65142.24,173.36,11209782.76
2021-11-12 02:00:00,64950.0,65497.53,65142.24,65038.88,112.44,7334642.21
2021-11-12 03:00:00,64758.1,65086.72,65038.88,64867.26,35.4,2297285.2
2021-11-12 04:00:00,64717.73,65095.25,64867.26,64976.82,40.39,2623272.5
