datetime,low,high,open,close,volumefrom,volumeto
2021-11-10 00:00:00,11.22,11.52,11.37,11.31,109252.95,1235513.29
2021-11-10 01:00:00,11.25,11.43,11.31,11.32,82147.75,929886.36
2021-11-10 02:00:00,11.14,11.34,11.32,11.15,45853.07,511340.62
2021-11-10 03:00:00,11.08,11.21,11.15,11.14,38818.64,432283.0
2021-11-10 04:00:00,11.1,11.23,11.14,11.17,37729.87,421350.46
2021-11-10 05:00:00,11.05,11.21,11.17,11.09,90506.75,1004054.58
2021-11-10 06:00:00,11.1,11.22,11.09,11.17,73238.31,818131.38
2021-11-10 07:00:00,11.11,11.36,11.17,11.35,48695.62,552591.4
2021-11-10 08:00:00,11.38,11.63,11.35,11.43,85647.91,979275.99
2021-11-10 09:00:00,11.29,11.66,11.43,11.56,124265.79,1436984.93
2021-11-10 10:00:00,11.47,11.75,11.54,11.7,3816.28,44328.41
2021-11-10 11:00:00,11.53,11.77,11.7,11.53,4704.65,54842.04
2021-11-10 12:00:00,11.33,11.54,11.54,11.33,70248.23,796128.11
2021-11-10 13:00:00,11.5,11.69,11.33,11.5,90471.85,1040628.6
2021-11-10 14:00:00,11.37,11.63,11.5,11.37,91921.25,1045541.07
2021-11-10 15:00:00,11.35,11.44,11.37,11.43,17362.4,198452.39
2021-11-10 16:00:00,11.39,11.51,11.43,11.51,29023.65,334099.88
2021-11-10 17:00:00,11.48,11.62,11.51,11.59,78366.44,908315.94
2021-11-10 18:00:00,11.45,11.69,11.59,11.56,114904.7,1328735.0
2021-11-10 19:00:00,11.01,11.65,11.56,11.03,220019.85,2427689.38
2021-11-10 20:00:00,10.6,11.03,11.03,10.75,162843.96,1750525.05
2021-11-10 21:00:00,10.12,10.77,10.75,10.47,97732.68,1023349.64
2021-11-10 22:00:00,10.51,10.85,10.47,10.8,54380.16,587106.48
2021-11-10 23:00:00,10.69,10.81,10.8,10.76,29428.41,316789.2
2021-11-11 00:00:00,10.69,11.14,10.76,11.13,84946.72,945313.66
2021-11-11 01:00:00,10.89,11.13,11.13,10.93,51379.27,561394.81
2021-11-11 02:00:00,10.7,10.89,10.93,10.85,22052.41,239187.97
2021-11-11 03:00:00,10.85,11.03,10.85,11.0,19274.6,212096.55
2021-11-11 04:00:00,10.9,11.06,11.0,11.02,14422.76,158960.4
2021-11-11 05:00:00,11.02,11.16,11.02,11.16,16844.77,187954.09
2021-11-11 06:00:00,11.07,11.2,11.16,11.18,12083.77,135076.14
2021-11-11 07:00:00,11.19,11.42,11.18,11.4,32257.94,367863.09
2021-11-11 08:00:00,11.25,11.45,11.4,11.38,66258.17,754076.89
2021-11-11 09:00:00,11.25,12.23,11.25,12.23,4898.52,57029.89
2021-11-11 10:00:00,11.84,12.31,12.23,12.24,8388.88,101402.56
2021-11-11 11:00:00,11.97,12.31,12.24,12.15,4067.0,49482.0
2021-11-11 12:00:00,11.94,12.45,12.15,12.12,4990.88,60811.74
