,Date,Tweets,Google,open,BTCopen
0,1636491600.0,13,73,11.37,66945.72
1,1636495200.0,14,69,11.31,67003.28
2,1636498800.0,20,59,11.32,67046.41
3,1636502400.0,21,60,11.15,66825.84
4,1636506000.0,16,50,11.14,66492.85
5,1636509600.0,26,35,11.17,66659.54
6,1636513200.0,22,34,11.09,66356.36
7,1636516800.0,39,32,11.17,66540.66
8,1636520400.0,42,29,11.35,66452.73
9,1636524000.0,48,29,11.43,66633.87
10,1636527600.0,33,28,11.54,66701.76
11,1636531200.0,32,34,11.7,66824.47
12,1636534800.0,26,37,11.54,66557.6
13,1636538400.0,40,39,11.33,66406.81
14,1636542000.0,30,49,11.5,68000.0
15,1636545600.0,56,75,11.37,68405.0
16,1636549200.0,47,63,11.43,68410.86
17,1636552800.0,48,78,11.51,68546.78
18,1636556400.0,23,62,11.59,68627.01
19,1636560000.0,36,79,11.56,67773.76
20,1636563600.0,32,78,11.03,66620.78
21,1636567200.0,20,71,10.75,65789.65
22,1636570800.0,11,86,10.47,64293.16
23,1636574400.0,22,73,10.8,65159.89
24,1636578000.0,33,70,10.76,64921.43
25,1636581600.0,27,58,11.13,64972.53
26,1636585200.0,9,51,10.93,64779.92
27,1636588800.0,20,62,10.85,64554.92
28,1636592400.0,25,56,11.0,64775.06
29,1636596000.0,22,37,11.02,64638.83
30,1636599600.0,25,35,11.16,64692.41
31,1636603200.0,29,30,11.18,64853.35
32,1636606800.0,23,25,11.4,65256.54
33,1636610400.0,60,24,11.25,65394.77
34,1636614000.0,90,26,12.23,65398.28
35,1636617600.0,50,29,12.24,65261.56
36,1636621200.0,46,40,12.15,65286.94
37,1636624800.0,48,47,12.25,65027.6
38,1636628400.0,36,56,12.06,64767.18
39,1636632000.0,35,61,12.06,65214.97
40,1636635600.0,61,65,12.25,64848.09
41,1636639200.0,45,74,12.03,65098.64
42,1636642800.0,39,73,11.98,64974.12
43,1636646400.0,40,69,12.26,64794.67
44,1636650000.0,22,78,12.02,65167.7
