,Date,Tweets,Google,open,BTCopen
0,1636491600.0,562,71,5.488e-05,66945.72
1,1636495200.0,649,67,5.436e-05,67003.28
2,1636498800.0,650,69,5.463e-05,67046.41
3,1636502400.0,624,71,5.454e-05,66825.84
4,1636506000.0,585,72,5.427e-05,66492.85
5,1636509600.0,623,68,5.436e-05,66659.54
6,1636513200.0,657,63,5.457e-05,66356.36
7,1636516800.0,507,60,5.422e-05,66540.66
8,1636520400.0,615,60,5.438e-05,66452.73
9,1636524000.0,614,56,5.406e-05,66633.87
10,1636527600.0,604,60,5.375e-05,66701.76
11,1636531200.0,484,59,5.403e-05,66824.47
12,1636534800.0,712,68,5.333e-05,66557.6
13,1636538400.0,787,71,5.205e-05,66406.81
14,1636542000.0,874,69,5.225e-05,68000.0
15,1636545600.0,649,71,5.127e-05,68405.0
16,1636549200.0,803,70,5.123e-05,68410.86
17,1636552800.0,981,77,5.141e-05,68546.78
18,1636556400.0,890,80,5.132e-05,68627.01
19,1636560000.0,883,87,5.075e-05,67773.76
20,1636563600.0,841,96,4.902e-05,66620.78
21,1636567200.0,732,100,4.907e-05,65789.65
22,1636570800.0,685,81,4.776e-05,64293.16
23,1636574400.0,522,71,4.956e-05,65159.89
24,1636578000.0,536,65,5.031e-05,64921.43
25,1636581600.0,538,65,4.993e-05,64972.53
26,1636585200.0,641,65,4.904e-05,64779.92
27,1636588800.0,626,64,4.98e-05,64554.92
28,1636592400.0,545,68,5.161e-05,64775.06
29,1636596000.0,600,71,5.236e-05,64638.83
30,1636599600.0,712,62,5.207e-05,64692.41
31,1636603200.0,802,59,5.231e-05,64853.35
32,1636606800.0,711,54,5.203e-05,65256.54
33,1636610400.0,537,52,5.15e-05,65394.77
34,1636614000.0,466,53,5.114e-05,65398.28
35,1636617600.0,661,56,5.08e-05,65261.56
36,1636621200.0,1057,70,5.098e-05,65286.94
37,1636624800.0,1296,84,5.498e-05,65027.6
38,1636628400.0,863,68,5.624e-05,64767.18
39,1636632000.0,1030,68,5.576e-05,65214.97
40,1636635600.0,1151,65,5.576e-05,64848.09
41,1636639200.0,973,66,5.426e-05,65098.64
42,1636642800.0,1452,70,5.463e-05,64974.12
43,1636646400.0,886,71,5.474e-05,64794.67
44,1636650000.0,877,78,5.504e-05,65167.7
45,1636653600.0,775,80,5.498e-05,64821.34
46,1636657200.0,763,80,5.674e-05,65086.63
47,1636660800.0,623,72,5.562e-05,65213.93
48,1636664400.0,690,68,5.656e-05,64821.33
49,1636668000.0,613,63,5.51e-05,64852.09
50,1636671600.0,821,64,5.501e-05,65142.24
51,1636675200.0,659,65,5.431e-05,65038.88
52,1636678800.0,656,66,5.364e-05,64867.26
53,1636682400.0,615,66,5.388e-05,64976.82
54,1636686000.0,792,62,5.327e-05,64676.63
55,1636689600.0,597,55,5.326e-05,64517.64
56,1636693200.0,689,53,5.368e-05,64470.15
57,1636696800.0,580,53,5.357e-05,64896.28
58,1636700400.0,559,53,5.183e-05,63798.07
59,1636704000.0,575,54,5.189e-05,63687.02
60,1636707600.0,565,56,5.232e-05,63757.51
61,1636711200.0,688,56,5.227e-05,63837.78
62,1636714800.0,692,59,5.243e-05,63965.02
63,1636718400.0,841,59,5.321e-05,63469.27
64,1636722000.0,707,60,5.297e-05,63183.33
65,1636725600.0,1045,58,5.225e-05,63086.83
66,1636729200.0,641,60,5.23e-05,63643.21
67,1636732800.0,547,65,5.262e-05,63908.14
68,1636736400.0,461,67,5.196e-05,63870.36
69,1636740000.0,454,68,5.229e-05,64155.26
70,1636743600.0,686,64,5.201e-05,64112.45
71,1636747200.0,530,62,5.22e-05,63956.02
72,1636750800.0,430,56,5.239e-05,64158.41
73,1636754400.0,375,53,5.249e-05,64356.6
74,1636758000.0,375,55,5.197e-05,63899.61
75,1636761600.0,357,56,5.167e-05,63728.89
76,1636765200.0,575,63,5.156e-05,63793.02
77,1636768800.0,468,64,5.145e-05,63710.1
78,1636772400.0,459,60,5.111e-05,63615.87
79,1636776000.0,456,57,5.176e-05,63869.95
80,1636779600.0,538,54,5.174e-05,64051.16
81,1636783200.0,397,52,5.162e-05,63824.65
82,1636786800.0,357,50,5.144e-05,63465.65
83,1636790400.0,464,53,5.16e-05,63732.38
84,1636794000.0,552,54,5.155e-05,63584.98
85,1636797600.0,558,56,5.123e-05,63557.85
86,1636801200.0,691,58,5.173e-05,63624.55
87,1636804800.0,662,58,5.212e-05,64713.46
88,1636808400.0,624,57,5.209e-05,64711.06
89,1636812000.0,555,60,5.192e-05,64648.35
90,1636815600.0,541,64,5.199e-05,64680.54
91,1636819200.0,818,66,5.154e-05,64133.94
92,1636822800.0,552,67,5.161e-05,63967.74
93,1636826400.0,531,63,5.151e-05,64360.86
94,1636830000.0,415,64,5.124e-05,64391.37
95,1636833600.0,464,60,5.15e-05,64295.1
96,1636837200.0,423,58,5.166e-05,64417.52
97,1636840800.0,654,72,5.379e-05,65003.72
98,1636844400.0,720,67,5.474e-05,64810.87
99,1636848000.0,534,62,5.431e-05,64655.82
100,1636851600.0,458,62,5.369e-05,64670.94
101,1636855200.0,599,60,5.374e-05,64778.55
102,1636858800.0,443,58,5.288e-05,64897.5
103,1636862400.0,447,54,5.266e-05,64827.17
